"","PROVINCE","CITY","COUNTY","TOWN","COUNTRY","GB","XZ","CUN","BH","DQ","A21","A22","A23","A24","A25","A31","A32","A331","A332","A333","A334","A335","A336","A337","A1A1","A2A1","A3A1","A4A1","A5A1","A6A1","A1A2","A2A2","A3A2","A4A2","A5A2","A6A2","A1A3","A2A3","A3A3","A4A3","A5A3","A6A3","A1A4","A2A4","A3A4","A4A4","A5A4","A6A4","A1A5","A2A5","A3A5","A4A5","A5A5","A6A5","A1A6","A2A6","A3A6","A4A6","A5A6","A6A6","A1A7","A2A7","A3A7","A4A7","A5A7","A6A7","A1A8","A2A8","A3A8","A4A8","A5A8","A6A8","A1A9","A2A9","A3A9","A4A9","A5A9","A6A9","A1A10","A2A10","A3A10","A4A10","A5A10","A6A10","A1A11","A2A11","A3A11","A4A11","A5A11","A6A11","A1A12","A2A12","A3A12","A4A12","A5A12","A6A12","A1A13","A2A13","A3A13","A4A13","A5A13","A6A13","A1A14","A2A14","A3A14","A4A14","A5A14","A6A14","A1A15","A2A15","A3A15","A4A15","A5A15","A6A15","A1A16","A2A16","A3A16","A4A16","A5A16","A6A16","A1A17","A2A17","A3A17","A4A17","A5A17","A6A17","A1A18","A2A18","A3A18","A4A18","A5A18","A6A18","A1A19","A2A19","A3A19","A4A19","A5A19","A6A19","A1A20","A2A20","A3A20","A4A20","A5A20","A6A20","A1A21","A2A21","A3A21","A4A21","A5A21","A6A21","A1A22","A2A22","A3A22","A4A22","A5A22","A6A22","A41","A42","A43","A44","A451","A452","A453","A454","A455","A456","A457","A458","A459","A46","A47","A48","A491","A492","A493","A494","A495","A410","A411","A412","A413","A414","A415","A416","A417","A418","A419","A51","A52","A53","A54","A55","A56","A57","A58","A591","A592","A593","A594","A595","A596","A597","A598","A599","A5910","A510","A511","A512","A5131","A5132","A5133","A5134","A5135","A5136","A514","A515","A516","A517","A518","A61","A62","A631","A632","A633","A634","A635","A636","A637","A638","A639","A64","A65","A66","A671","A672","A673","A674","A675","A681","A682","A683","A684","A685","A686","A687","A688","A689","A6810","A6811","A6812","A6813","A6814","A69","A7","A8"
"376","甘肃","甘南州","迭部","电尕","吾子",623024,2,11,NA,"2","4","1","3","1","3000","2","2","103","2","2013/11/09","1",NA,"1","1","2013/11/10","2013/11/10",1,NA,NA,NA,"2013/11/10","2013/11/10",1,NA,NA,NA,"2013/12/29","2013/12/29",1,NA,NA,NA,"2014/05/26","2014/05/26",1,NA,NA,NA,"2014/02/25","2014/02/25",1,NA,NA,NA,"2014/03/25","2014/03/25",1,NA,NA,NA,"2014/04/25","2014/04/25",1,NA,NA,NA,"","",NA,NA,NA,NA,"2014/02/25","2014/02/25",1,NA,NA,NA,"2014/03/25","2014/03/25",1,NA,NA,NA,"2014/04/25","2014/04/25",1,NA,NA,NA,"2015/05/13","2015/05/13",1,NA,NA,NA,"2014/09/28","2014/09/28",1,NA,NA,"","2015/09/23","2015/09/23",1,NA,NA,NA,"2014/05/26","2014/05/26",1,NA,NA,NA,"2014/09/28","2014/09/28",1,NA,NA,NA,"","",NA,NA,NA,NA,"","",NA,NA,NA,NA,"2014/08/26","2014/08/26",1,NA,NA,NA,"2015/11/28","2015/11/28",1,NA,NA,NA,"2015/05/13","2015/05/13",1,NA,NA,NA,"","",NA,NA,NA,NA,"2","3","6","2","2","2","2","2","2","2","2","2","1","2","2","5","1","2","2","2","2","3","6","6","6","6","6","6","6","4","1","3",NA,NA,NA,NA,"1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,"1","5","5","2","4","1","2","1","2","2","2","2","2",NA,"2","2","3","2","2","2","1",NA,"2","2","2","2","2","2","2","2","2","1","2","2","2","2","10","傲见草","2016/12/27"
"377","甘肃省","甘南州","迭部","电尕","亚安",623024,2,12,NA,"2","4","1","3","1","4000","2","2","114","2","2012/07/13",NA,NA,"1","1","2012/07/13","2012/07/13",1,NA,NA,NA,"2012/07/13","2012/07/13",1,NA,NA,NA,"2012/08/14","2012/08/14",1,NA,NA,NA,"2013/03/01","2013/03/01",1,NA,NA,NA,"2012/09/25","2012/09/25",1,NA,NA,NA,"2012/10/25","2012/10/25",1,NA,NA,NA,"2012/11/28","2012/11/28",1,NA,NA,NA,"2016/04/10","2016/04/10",1,NA,NA,NA,"2012/10/25","2012/10/25",1,NA,NA,NA,"2012/11/28","2012/11/28",1,NA,NA,NA,"2012/12/31","2012/12/31",1,NA,NA,NA,"2014/04/25","2014/04/25",1,NA,NA,NA,"2013/05/08","2012/05/28",1,NA,NA,"","2014/02/25","2014/02/05",1,NA,NA,NA,"2013/03/01","2013/03/01",1,NA,NA,NA,"2013/06/17","2013/06/17",1,NA,NA,NA,"2015/07/13","2015/07/13",1,NA,NA,NA,"","",NA,NA,NA,NA,"2013/05/28","2013/05/28",1,NA,NA,NA,"2014/08/26","2014/08/26",1,NA,NA,NA,"2014/02/25","2014/02/25",1,NA,NA,NA,"","",NA,NA,NA,NA,"3","6","6","2","2","2","2","2","2","2","2","2","1","2","2","5","1","2","2","2","2","2","6","6","6","6","6","6","6","4","1","3",NA,NA,NA,NA,"1","1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,"1","5","5","2","3","2","2","1","2","2","2","2","2",NA,"2","2","3","2","2","2","2","1","2","2","2","2","2","2","2","2","2","1","2","2","2","2","8","傲见草","2016/12/27"
"378","甘肃","甘南州","迭部","电尕","亚安",623024,2,12,NA,"2","3","2","1","1","2500","2","2","115","2","2013/09/13",NA,"1",NA,"1","2012/09/14","2012/09/14",1,NA,NA,NA,"2012/09/14","2012/09/14",1,1,NA,NA,"2012/10/25","2012/10/25",1,NA,NA,NA,"2013/04/05","2013/04/05",1,NA,NA,NA,"2012/11/28","2012/11/28",1,NA,NA,NA,"2012/12/31","2012/12/31",1,NA,NA,NA,"2013/03/01","2013/03/01",1,NA,NA,NA,"","2016/09/18",2,NA,NA,NA,"2012/12/31","2012/12/31",1,NA,NA,NA,"2013/03/01","2013/03/01",1,NA,NA,NA,"2013/04/05","2013/04/05",1,NA,NA,NA,"2014/05/26","2014/05/26",1,NA,NA,NA,"2013/06/17","2003/06/17",1,2,NA,"","2014/03/25","2014/03/25",1,NA,NA,NA,"2013/05/08","2013/05/08",1,NA,NA,NA,"2013/08/29","2013/08/29",1,NA,NA,NA,"2015/11/28","2015/11/28",1,NA,NA,NA,"","",NA,NA,NA,NA,"2013/06/17","2013/06/17",1,NA,NA,NA,"2014/09/28","2014/09/28",1,NA,NA,NA,"2014/06/29","2014/06/29",1,NA,NA,NA,"","",NA,NA,NA,NA,"2","6","6","1","2","2","2","2","2","2","2","2","1","1","2","5","1","2","2","2","2","3","3","6","6","6","6","6","6","4","1","2",NA,NA,NA,NA,"3","2","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,"1","5",NA,"2","3","1","2","2","2","2","2","2","2","2","2","2","3","2","2","2","1","2","2","2","2","2","2","2","2","2","2","1","2","2","2","2","10","傲见草","2016/12/27"
"379","甘肃","甘南州","迭部","电尕","亚安",623024,2,12,NA,"2","4","2","1","1","2000","2","2","116","2","2010/10/02","1",NA,"1","1","2010/10/02","2010/10/02",1,NA,NA,NA,"1010/02/02","2010/10/02",1,NA,NA,NA,"2010/11/30","2010/11/30",1,NA,NA,NA,"2011/04/29","2011/04/29",1,NA,NA,NA,"2010/12/30","2010/12/30",1,NA,NA,NA,"2011/03/31","2011/03/31",1,NA,NA,NA,"2011/04/29","2011/04/29",1,NA,NA,NA,"2014/10/30","2014/10/30",1,NA,NA,NA,"2011/03/31","2011/03/31",1,NA,NA,NA,"2011/04/29","2011/04/29",1,NA,NA,NA,"2011/05/31","2011/05/31",1,NA,NA,NA,"2012/05/09","2012/05/09",1,NA,NA,NA,"2011/06/30","2011/06/30",1,NA,NA,"","2012/05/09","2012/05/09",1,NA,NA,NA,"2011/05/31","2011/05/31",1,NA,NA,NA,"2011/11/28","2011/11/28",1,NA,NA,NA,"2013/11/26","2013/11/26",1,NA,NA,NA,"","",NA,NA,NA,NA,"2011/07/30","2011/07/30",1,NA,NA,NA,"2012/10/13","2012/10/13",1,NA,NA,NA,"2012/06/11","2012/06/11",1,NA,NA,NA,"","",NA,NA,NA,NA,"3","6","6","2","2","2","2","2","2","2","2","2","1","2","2","5","1","2","2","2","2","3","6","6","6","6","6","6","6","4","1","3",NA,NA,NA,NA,"4","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,"1","5","5","2","4","1","2","2","2","2","2","1","2","2","2","2","3","2","2","2","1","1","2","2","2","2","2","2","2","2","2","1","1","2","2","2","10","傲见草","2016/12/27"
"380","甘肃","甘南州","迭部","电尕","亚安",623024,2,12,NA,"2","1","2","1","1","2000","2","2","117","2","2013/06/06","1",NA,"1","1","2013/06/07","2013/06/07",1,NA,NA,NA,"2013/06/07","2013/06/07",1,NA,NA,NA,"2013/07/28","2013/07/28",1,NA,NA,NA,"2014/03/24","2014/03/24",1,NA,NA,NA,"2013/08/29","2013/08/29",1,NA,NA,NA,"2013/09/30","2013/09/30",1,NA,NA,NA,"2013/11/25","2013/11/25",1,NA,NA,NA,"","",NA,NA,NA,NA,"2013/09/30","2013/09/30",1,NA,NA,NA,"2013/11/25","2013/11/25",1,NA,NA,NA,"2014/03/24","2014/03/24",1,NA,NA,NA,"2015/05/13","2013/05/13",1,NA,NA,NA,"2014/02/25","2014/02/25",1,NA,NA,"","2015/03/10","2015/03/10",1,NA,NA,NA,"2014/04/24","2014/04/24",1,NA,NA,NA,"2014/08/26","2014/08/26",1,NA,NA,NA,"2016/06/14","2016/06/14",1,NA,NA,NA,"","",NA,NA,NA,NA,"2014/02/25","2014/02/25",1,NA,NA,NA,"2015/06/06","2015/06/06",1,NA,NA,NA,"2015/03/10","2015/03/10",1,NA,NA,NA,"","",NA,NA,NA,NA,"2","6","6","2","2","2","2","2","2","2","2","2","1","2","2","5","1","2","2","2","2","3","6","3","6","6","6","6","6","4","1","3",NA,NA,NA,NA,"3","2","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,"1","5",NA,"2","3","2","2","1","2","2","2","2","2","2","2","2","3","2","2","2","1",NA,"2","2","2","2","2","2","2","2","2","1","1","2","2","2","10","傲见草","2016/12/27"
"381","甘肃","甘南州","迭部","电尕","亚安",623024,2,12,NA,"2","1","1","3","1","2000","2","2","118","2","2013/12/25","1",NA,"1","1","2013/12/26","2013/12/26",1,NA,NA,NA,"2013/12/26","2013/12/26",1,NA,NA,NA,"2014/02/24","2014/02/24",1,NA,NA,NA,"2014/08/26","2014/08/26",1,NA,NA,NA,"2014/02/24","2014/02/24",1,NA,NA,NA,"2014/03/24","2014/03/24",1,NA,NA,NA,"2014/04/23","2014/04/24",1,NA,NA,NA,"","",NA,NA,NA,NA,"2014/03/24","2014/03/24",1,NA,NA,NA,"2014/04/24","2014/04/24",1,NA,NA,NA,"2014/05/26","2014/05/26",1,NA,NA,NA,"2015/07/13","2015/07/13",2,NA,NA,NA,"2014/08/26","2014/08/26",1,NA,NA,"","2015/08/20","2015/08/20",1,NA,NA,NA,"2014/09/28","2014/09/28",1,NA,NA,NA,"2014/12/29","2014/12/29",1,NA,NA,NA,"","",NA,NA,NA,NA,"","",NA,NA,NA,NA,"2014/09/28","2014/09/28",1,NA,NA,NA,"2015/12/29","2015/12/29",1,NA,NA,NA,"2015/07/13","2015/07/13",1,NA,NA,NA,"","",NA,NA,NA,NA,"2","6","6","2","2","2","2","2","2","2","2","2","1","2","2","5","1","2","2","2","2","2","6","6","6","6","6","6","6","4","1","3",NA,NA,NA,NA,"1","1","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,"1","5",NA,"2","2","1","2","2","2","2","2","2","1",NA,"2","2","3","2","2","2","1","2","2","2","2","2","2","2","2","1","2","1","2","2","2","2","10","傲见草","2016/12/27"
"382","甘肃","甘南州","迭部","电尕","吾子",623024,2,12,NA,"2","4","1","3","1","3000","2","2","119","2","2015/07/31","1",NA,"1","1","2015/08/01","2015/08/01",1,NA,NA,NA,"2015/08/01","2015/08/01",1,NA,NA,NA,"2015/09/23","2015/09/23",1,NA,NA,NA,"2016/03/07","2016/03/07",1,NA,NA,NA,"2015/10/23","2015/10/23",1,NA,NA,NA,"2015/11/28","2015/11/28",1,NA,NA,NA,"2015/12/28","2015/12/28",1,NA,NA,NA,"","",NA,NA,NA,NA,"2015/12/28","2015/12/28",1,NA,NA,NA,"2016/03/07","2016/03/07",1,NA,NA,NA,"2016/04/10","2016/04/07",1,NA,NA,NA,"","",NA,NA,NA,NA,"2016/04/10","2016/04/10",1,NA,NA,"","","",NA,NA,NA,NA,"2016/05/17","2016/05/17",1,NA,NA,NA,"2016/08/18","2016/08/18",1,NA,NA,NA,"","",NA,NA,NA,NA,"","",NA,NA,NA,NA,"","",NA,NA,9,NA,"","",NA,NA,NA,NA,"","",NA,NA,NA,NA,"","",NA,NA,NA,NA,"2","6","6","2","2","2","2","2","2","2","2","2","1","2","2","5","1","2","2","2","2","2","3","3","6","6","6","6","6","4","1","3",NA,NA,NA,NA,"4","2","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,"1","5",NA,"2","3","1","2","2","2","2","2","2","2",NA,"2","2","3","2","2","2","1",NA,"2","2","2","2","2","2","2","2","2","1","2","2","2","2","8","傲见草","2016/12/27"
"383","甘肃","甘南州","迭部","电尕","亚安",623024,2,12,NA,"2","4","2","4","1","2000","2","2","120","2","2014/10/06","1",NA,"1","1","2014/10/07","2014/10/07",1,NA,NA,NA,"2014/10/07","2014/10/07",1,NA,NA,NA,"2014/11/30","2014/11/30",1,NA,NA,NA,"2015/04/14","2015/04/14",1,NA,NA,NA,"2014/12/29","2014/12/29",1,NA,NA,NA,"2015/01/28","2015/01/28",1,NA,NA,NA,"2015/03/10","2015/03/10",1,NA,NA,NA,"","",NA,NA,NA,NA,"2015/03/10","2015/03/10",1,NA,NA,NA,"2015/04/14","2015/04/14",1,NA,NA,NA,"2015/05/13","2015/05/13",1,NA,NA,NA,"2016/04/10","2016/04/10",1,NA,NA,NA,"2015/06/13","2015/06/13",1,NA,NA,"","2016/09/21","2016/09/21",1,NA,NA,NA,"2015/05/13","2015/05/13",1,NA,NA,NA,"2015/08/20","2015/08/20",1,NA,NA,NA,"","",NA,NA,NA,NA,"","",NA,NA,NA,NA,"2015/08/20","2015/08/20",1,NA,NA,NA,"","",NA,NA,NA,NA,"2016/04/10","2016/04/10",1,NA,NA,NA,"","",NA,NA,NA,NA,"3","2","2","2","2","2","2","2","2","2","2","2","1","2","2","3","1","2","2","2","2","3","6","6","6","6","3","6","4","1","1","3",NA,NA,NA,NA,"3","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","1",NA,NA,NA,NA,NA,NA,NA,"1","5","5","2","3",NA,NA,"1",NA,NA,NA,"1",NA,NA,"2","2","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"10","傲见草","2016/12/27"
"384","甘肃","甘南州","迭部","电尕","旺藏",623024,3,13,NA,"2","1","1","4","1","3000","2","2","121","2","2012/04/03","1",NA,"1","1","2012/04/03","2012/04/03",1,NA,NA,NA,"2012/04/03","2012/04/03",1,NA,NA,NA,"2012/05/31","2012/05/31",1,NA,NA,NA,"2012/11/01","2012/11/01",1,NA,NA,NA,"2012/06/30","2012/06/30",1,NA,NA,NA,"2012/08/27","2012/08/27",1,NA,NA,NA,"2012/09/30","2012/09/30",1,NA,NA,NA,"2016/04/07","2016/04/07",1,NA,NA,NA,"2012/08/27","2012/08/27",1,NA,NA,NA,"2012/09/30","2012/09/30",1,NA,NA,NA,"2012/10/30","2012/10/30",1,NA,NA,NA,"2013/12/02","2013/12/02",1,NA,NA,NA,"2013/03/08","2013/03/08",1,NA,NA,"","2014/05/28","2014/05/28",1,NA,NA,NA,"2012/11/30","2012/11/30",1,NA,NA,NA,"2013/07/29","2013/07/29",1,NA,NA,NA,"2014/04/30","2014/04/30",1,NA,NA,NA,"","",NA,NA,NA,NA,"2013/04/09","2014/04/09",1,NA,NA,NA,"2014/05/28","2014/05/28",1,NA,NA,NA,"2012/12/02","2012/12/02",1,NA,NA,NA,"","",NA,NA,NA,NA,"1","2","3","1","2","2","2","2","2","2","2","2","1","2","1","5","2","2","2","2","1","2","2","2","3","3","3","3","2","3","1","3",NA,NA,NA,NA,"3","2","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,"1","2",NA,"2","4","1","2","2","2","2","2","2","2",NA,"1","2","3","2","2","1","2","2","1","2","2","2","2","2","2","2","2","1","2","2","2","2","8","老木草","2016/12/28"
"385","甘肃","甘南州","迭部","电尕","旺藏",623024,3,13,NA,"2","1","2","4","2","5000","2","2","122","1","2010/02/06","1",NA,"1","1","2010/02/07","2010/02/07",1,NA,NA,NA,"2010/02/07","2010/02/07",1,NA,NA,NA,"2010/03/08","2010/03/08",1,NA,NA,NA,"2010/09/13","2010/09/13",1,NA,NA,NA,"2010/04/08","2010/04/08",1,NA,NA,NA,"2010/05/19","2010/05/19",1,NA,NA,NA,"2010/06/29","2010/06/29",1,NA,NA,NA,"2014/03/22","2014/03/22",1,NA,NA,NA,"2010/05/19","2010/05/19",1,NA,NA,NA,"2010/06/29","2010/06/29",1,NA,NA,NA,"2010/07/28","2010/07/28",1,NA,NA,NA,"2011/08/28","2011/08/28",1,NA,NA,NA,"2010/10/26","2010/10/26",1,NA,NA,"","2011/10/24","2011/10/24",1,NA,NA,NA,"2010/09/13","2010/09/13",1,NA,NA,NA,"2010/12/27","2010/12/27",1,NA,NA,NA,"2013/02/17","2013/02/17",1,NA,NA,NA,"2016/09/16","2016/09/16",1,NA,NA,NA,"2010/10/26","2010/10/26",1,NA,NA,NA,"2012/05/28","2010/05/28",1,NA,NA,NA,"2011/10/24","2011/10/24",1,NA,NA,NA,"2016/09/16","2016/09/16",1,NA,NA,NA,"1","2","6","1","2","2","2","1","1","1","1","2","1","1","1","5","1","2","2","2","1","2","2","2","6","6","6","3","2","3","1","3",NA,NA,NA,NA,"3","2","2","2","2","2","2","2","2","2","1","2","2","2","1","4",NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,"2","3","1","2","1","2","1","1","1","2",NA,"1","1","3","1","2","1","2",NA,"1","2","2","1","2","2","2","2","2","1","2","2","2",NA,"4","老木草","2016/12/28"
"386","甘肃","甘南州","迭部","电尕","旺藏",623024,3,13,NA,"2","1","1","4","1","3500","2","2","123","2","2010/08/24","1",NA,"1","1","2010/08/24","2010/08/24",1,NA,NA,NA,"2010/08/24","2010/08/24",1,NA,NA,NA,"2010/12/28","2010/10/28",2,NA,NA,NA,"2011/06/28","2011/06/28",1,NA,NA,NA,"2010/12/28","2010/12/28",1,NA,NA,NA,"2011/01/29","2010/01/29",1,NA,NA,NA,"2011/03/27","2011/03/27",1,NA,NA,NA,"2014/08/28","2014/08/28",1,NA,NA,NA,"2010/12/28","2010/12/28",1,NA,NA,NA,"2011/03/27","2011/03/27",1,NA,NA,NA,"2011/04/27","2011/04/27",1,NA,NA,NA,"2012/11/29","2012/11/29",1,NA,NA,NA,"2011/04/27","2011/04/27",1,NA,NA,"","2012/05/30","2012/05/30",1,NA,NA,NA,"2011/03/27","2011/03/27",1,NA,NA,NA,"2011/06/28","2011/06/28",1,NA,NA,NA,"2013/09/28","2013/09/28",1,NA,NA,NA,"2016/09/16","2016/09/16",1,NA,NA,NA,"2011/10/24","2011/10/24",1,NA,NA,NA,"2012/11/29","2012/11/29",1,NA,NA,NA,"2012/11/29","2012/11/29",1,NA,NA,NA,"2016/09/16","2016/09/16",1,NA,NA,NA,"2","2","6","2","2","2","2","2","2","2","2","2","1","3","3","5","1","2","2","2","2","2","6","6","6","6","6","6","2","3","3","3",NA,NA,NA,NA,"3","2","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,"1","4",NA,"2","4","1","2","2","2","2","2","2","1",NA,"2","2","3","1","2","2","2","2","2","2","2","2","2","2","2","1","2","1","2","2","2","2","9","老木草","2016/12/28"
"387","甘肃","甘南州","迭部","旺藏","旺藏",623024,3,13,NA,"2","1","2","4","2","4000","2","2","124","2","2015/08/15","1",NA,"1","1","2015/08/15","2015/08/15",1,NA,NA,NA,"2015/08/15","2015/08/15",1,1,NA,NA,"2015/09/30","2015/09/30",1,NA,NA,NA,"2016/04/09","2016/04/09",1,NA,NA,NA,"2015/10/29","2015/10/29",1,NA,NA,NA,"2015/11/29","2015/11/29",1,NA,NA,NA,"2015/12/29","2015/12/29",1,NA,NA,NA,"","",NA,NA,NA,NA,"2015/12/29","2015/12/29",1,NA,NA,NA,"2016/01/29","2016/01/29",1,NA,NA,NA,"2016/02/29","",2,NA,NA,NA,"","",NA,NA,NA,NA,"2016/05/09","",2,1,NA,"","","",NA,NA,NA,NA,"2016/03/08","",2,NA,NA,NA,"2016/07/13","",2,NA,NA,NA,"","",NA,NA,NA,NA,"","",NA,NA,NA,NA,"2016/05/09","",2,NA,NA,NA,"","",NA,NA,NA,NA,"","",NA,NA,NA,NA,"","",NA,NA,NA,NA,"1","1","6","1","2","2","2","2","1","2","2","2","2","1","1","5","1","2","2","2","2","2","1","1","6","6","2","1","1","3","1","3",NA,NA,NA,NA,"4","1","2","2","2","2","2","2","2","2","1","2","2","7","1","3",NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,"2","1","2","2","2","2","2","2","1","2","2","1","1","2","1","2","2","1","2","1","2","2","1","2","2","2","2","2","1","2","2","2",NA,"10","旦智九","2016/12/28"
"388","甘肃","甘南州","迭部","旺藏","旺藏",623024,13,13,NA,"2","1","2",NA,"2","3000","2","2","125","2","2014/12/26","1",NA,"1","1","2014/12/26","2014/12/26",1,NA,NA,NA,"2014/12/26","2014/12/26",1,NA,NA,NA,"2015/01/27","2015/01/27",1,NA,NA,NA,"2015/06/28","2015/06/28",1,NA,NA,NA,"2015/04/08","2015/04/08",1,NA,NA,NA,"2015/08/28","2015/08/28",1,NA,NA,NA,"2015/09/28","2015/09/28",1,NA,NA,NA,"","",NA,NA,NA,NA,"2015/04/08","2015/04/08",1,NA,NA,NA,"2015/06/28","2015/06/28",1,NA,NA,NA,"2015/08/28","2015/08/28",1,NA,NA,NA,"2016/08/12","2016/08/12",1,NA,NA,NA,"2015/09/28","2015/09/28",1,1,NA,"","2016/09/12","2016/09/12",1,2,NA,NA,"2015/07/29","2015/07/29",1,NA,NA,NA,"2015/10/29","2015/10/29",1,NA,NA,NA,"","",NA,NA,NA,NA,"","",NA,NA,NA,NA,"2015/10/29","2015/10/29",1,NA,NA,NA,"","",NA,NA,11,NA,"2016/08/12","2016/08/12",1,NA,NA,NA,"","",NA,NA,NA,NA,"1","1","2","1","2","2","1","2","2","2","2","2",NA,"1","1","2","1","2","2","2","2","2","2","2","2","2","2","2","1","3","1","3",NA,NA,NA,NA,"3","1","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,"1","4",NA,"2","1","2","2","1","2","2","2","2","2",NA,"1","1","3","1","2","2","1",NA,"1","2","2","1","2","2","2","2","2","1","2","2","2","2","4","旦智九","2016/12/28"
"389","甘肃.","甘南州","迭部","旺藏","旺藏",623024,13,13,NA,"2","4","2","4","1","5000","2","2","126","2","2013/07/17","1","1","1","1","2013/07/19","2013/07/19",1,NA,NA,NA,"2013/07/19","2013/07/19",1,NA,NA,NA,"2013/08/19","2013/08/19",1,NA,NA,NA,"2014/02/25","2014/02/25",1,NA,NA,NA,"2013/09/28","2013/09/28",1,NA,NA,NA,"2013/11/29","2013/11/29",1,NA,NA,NA,"2013/12/29","2013/12/29",1,NA,NA,NA,"","",NA,NA,NA,NA,"2013/11/29","2013/11/29",1,NA,NA,NA,"2013/12/29","2013/12/29",1,NA,NA,NA,"2014/02/25","2014/02/25",1,NA,NA,NA,"2015/03/30","2015/03/30",1,NA,NA,NA,"2014/06/28","2014/06/28",1,NA,3,"","2015/04/30","2015/04/30",1,NA,NA,NA,"2014/05/28","2014/05/28",1,NA,NA,NA,"2014/08/29","2014/08/29",1,NA,NA,NA,"2016/09/12","2016/09/12",1,NA,NA,NA,"","",NA,NA,NA,NA,"2014/04/22","2014/04/22",1,NA,NA,NA,"2015/08/25","2015/08/25",1,NA,NA,NA,"2015/03/30","2015/03/30",1,NA,NA,NA,"","",NA,NA,NA,NA,"3","6","6","2","2","2","2","2","2","2","2","2","1","3","3","5","1","2","2","2","2","2","6","6","6","6","6","6","6","3","1","1","1","3",NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","2",NA,"2","4","1","2","2","2","2","2","2","2",NA,"2","2","3","2","2","1","2","2","2","2","2","2","2","2","2","2","2","1","2","2","2","2","10","旦智九","2016/12/28"
"390","甘肃","甘南州","迭部","旺藏","旺藏",623024,13,13,NA,"2","1","1","4","1","3000","2","2","127","2","2013/11/27","1",NA,"1","1","2013/11/27","2013/11/27",1,NA,NA,NA,"2013/11/27","2013/11/27",1,NA,NA,NA,"2014/02/09","2014/02/09",1,NA,NA,NA,"2014/06/28","2014/06/28",1,NA,NA,NA,"2014/03/22","2014/03/22",1,NA,NA,NA,"2014/04/22","2014/04/22",1,NA,NA,NA,"2014/05/28","2014/05/28",1,NA,NA,NA,"","",NA,NA,NA,NA,"2014/03/22","2014/03/22",1,NA,NA,NA,"2014/04/22","2014/04/22",1,NA,NA,NA,"2014/05/28","2014/05/28",1,NA,NA,NA,"2015/06/24","2015/06/24",1,NA,NA,NA,"2014/07/29","2014/07/29",1,NA,NA,"","2015/07/29","2015/07/29",1,NA,NA,NA,"2014/07/29","2014/07/29",1,NA,NA,NA,"2015/07/29","2015/07/29",1,NA,NA,NA,"2016/11/27","2016/11/27",1,NA,NA,NA,"","",NA,NA,NA,NA,"2014/07/29","2014/07/29",1,NA,NA,NA,"2015/11/29","2015/11/29",1,NA,NA,NA,"2015/06/24","2015/06/24",1,NA,NA,NA,"","",NA,NA,NA,NA,"1","1","6","1","1","2","1","2","2","2","2","1","2","1","1","5","1","2","2","2","2","2","1","1","2","2","2","1","2","3","1","3",NA,NA,NA,NA,"3","1","2","1","2","2","2","2","2","2","2","2","2","2","1","4",NA,NA,NA,NA,NA,NA,NA,NA,"1","3",NA,"2","2","1","2","1","2","2","2","2","2","2","1","2","3","2","2","1","1","2","1","2","2","2","2","2","2","2","2","1","2","2","2","2","1","旦智九","2016/12/28"
